NOMBRE,CARGO
Ministerio de Cultura,Ministerio de Cultura
Patrimonio Cultural,Patrimonio Cultural
Industrias culturales y artes,Industrias culturales y artes
Interculturalidad,Interculturalidad
Defensa del Patrimonio,Defensa del Patrimonio
"",""
"Artes escénicas, visuales y música","Artes escénicas, visuales y música"
Libro y la lectura,Libro y la lectura
"Cine, audiovisual y nuevos medios","Cine, audiovisual y nuevos medios"
Inicio,Inicio
¿Qué es el SIICA?,¿Qué es el SIICA?
Contacto,Contacto
Indicadores,Indicadores
Aportes,Aportes
Estudios y reportes,Estudios y reportes
Servicios,Servicios
Recursos,Recursos
Noticias,Noticias
"",""
Talleres por el Día Mundial del Teatro 2022,Talleres por el Día Mundial del Teatro 2022
Talleres y especialización,Talleres y especialización
"",""
“Guía PASE de arte + educación” para docentes de escuela,“Guía PASE de arte + educación” para docentes de escuela
Formación,Formación
Herramientas de autoformación,Herramientas de autoformación
Oportunidades y recursos,Oportunidades y recursos
Oportunidades y recursos,Oportunidades y recursos
Talleres y especialización,Talleres y especialización
"",""
Encuentro del Programa de Artes en la Escuela PASE. Recuperar el contacto. Del 30 de junio al 3 de julio,Encuentro del Programa de Artes en la Escuela PASE. Recuperar el contacto. Del 30 de junio al 3 de julio
Formación,Formación
Oferta Educativa Profesional,Oferta Educativa Profesional
Talleres y especialización,Talleres y especialización
"",""
NUEVAS MEDIDAS PARA LA REACTIVACIÓN DE LAS ARTES,NUEVAS MEDIDAS PARA LA REACTIVACIÓN DE LAS ARTES
Herramientas de autoformación,Herramientas de autoformación
Talleres y especialización,Talleres y especialización
"",""
"Ministerio de Cultura lanza convocatoria para participar en el MIC Factoría, Mercado de Industrias Creativas Europa-Latinoamérica","Ministerio de Cultura lanza convocatoria para participar en el MIC Factoría, Mercado de Industrias Creativas Europa-Latinoamérica"
Formación,Formación
Oportunidades y recursos,Oportunidades y recursos
Oportunidades y recursos,Oportunidades y recursos
Talleres y especialización,Talleres y especialización
"",""
"Clases virtuales de diseño de proyectos culturales para los Estímulos Económicos para las artes escénicas, artes visuales y la música 2021","Clases virtuales de diseño de proyectos culturales para los Estímulos Económicos para las artes escénicas, artes visuales y la música 2021"
ARTES ESCENICAS,ARTES ESCENICAS
Concursos y premios,Concursos y premios
Estímulos Económicos,Estímulos Económicos
Música,Música
Talleres y especialización,Talleres y especialización
Teatro,Teatro
"",""
Conecta Emprende: Herramientas de gestión y comunicaciones para artistas,Conecta Emprende: Herramientas de gestión y comunicaciones para artistas
Talleres y especialización,Talleres y especialización
"",""
Programa III ENCUENTRO DE LA RED DE TEATROS DEL PERÚ,Programa III ENCUENTRO DE LA RED DE TEATROS DEL PERÚ
Talleres y especialización,Talleres y especialización
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
 , 
 , 
Mapa cultural - Perú,Mapa cultural - Perú
Nodos culturales - Lima,Nodos culturales - Lima
Geoportal,Geoportal
Infocultura,Infocultura
Artes,Artes
Indicadores,Indicadores
Aportes,Aportes
Estudios y reportes,Estudios y reportes
Servicios,Servicios
Recursos,Recursos
Noticias,Noticias
Infraestructura cultural,Infraestructura cultural
Teatros,Teatros
Salas de Cine,Salas de Cine
Centros Culturales,Centros Culturales
GalerÃ­as,GalerÃ­as
LibrerÃ­as,LibrerÃ­as
Archivos,Archivos
Escuelas de Arte,Escuelas de Arte
EncuÃ©ntralo aquÃ­,EncuÃ©ntralo aquÃ­
Mapa cultural,Mapa cultural
EstadÃ­sticas,EstadÃ­sticas
Socio-DemogrÃ¡ficas,Socio-DemogrÃ¡ficas
Radio y TV,Radio y TV
ProducciÃ³n Editorial,ProducciÃ³n Editorial
Internet,Internet
Cine y Audiovisuales,Cine y Audiovisuales
FormaciÃ³n,FormaciÃ³n
Oferta educativa profesional,Oferta educativa profesional
Talleres y especializaciÃ³n,Talleres y especializaciÃ³n
Recursos,Recursos
Oportunidades,Oportunidades
Becas,Becas
Concursos y Premios,Concursos y Premios
Financiamientos para Proyectos,Financiamientos para Proyectos
Residencias para artistas,Residencias para artistas
Ministerio de Cultura,Ministerio de Cultura
Subir,Subir
"",""
Licencia Creative Commons Atribución 4.0 Internacional,Licencia Creative Commons Atribución 4.0 Internacional
Ministerio de Cultura,Ministerio de Cultura
Patrimonio Cultural,Patrimonio Cultural
Industrias culturales y artes,Industrias culturales y artes
Interculturalidad,Interculturalidad
Defensa del Patrimonio,Defensa del Patrimonio
"",""
"Artes escénicas, visuales y música","Artes escénicas, visuales y música"
Libro y la lectura,Libro y la lectura
"Cine, audiovisual y nuevos medios","Cine, audiovisual y nuevos medios"
Inicio,Inicio
¿Qué es el SIICA?,¿Qué es el SIICA?
Contacto,Contacto
Indicadores,Indicadores
Aportes,Aportes
Estudios y reportes,Estudios y reportes
Servicios,Servicios
Recursos,Recursos
Noticias,Noticias
"",""
LISTA DE SELECCIONADOS A TALLERES FAE-LIMA,LISTA DE SELECCIONADOS A TALLERES FAE-LIMA
Formación,Formación
Talleres y especialización,Talleres y especialización
"",""
Clases Virtuales programa CONECTA EMPRENDE 2020,Clases Virtuales programa CONECTA EMPRENDE 2020
Conferencias y ponencias,Conferencias y ponencias
Formación,Formación
Herramientas de autoformación,Herramientas de autoformación
Oferta Educativa Profesional,Oferta Educativa Profesional
Talleres y especialización,Talleres y especialización
"",""
TALLERES INTERNACIONALES del FAE Lima 2021,TALLERES INTERNACIONALES del FAE Lima 2021
Conferencias y ponencias,Conferencias y ponencias
Festivales,Festivales
Formación,Formación
Herramientas de autoformación,Herramientas de autoformación
Oferta Educativa Profesional,Oferta Educativa Profesional
Talleres y especialización,Talleres y especialización
"",""
Encuentro Conecta 2020. Del 10 al 12 de diciembre,Encuentro Conecta 2020. Del 10 al 12 de diciembre
Herramientas de autoformación,Herramientas de autoformación
Oferta Educativa Profesional,Oferta Educativa Profesional
Talleres y especialización,Talleres y especialización
"",""
"ENCUENTRO DE ARTE Y CIUDADANIA. 2, 3 y 4 DE DICIEMBRE","ENCUENTRO DE ARTE Y CIUDADANIA. 2, 3 y 4 DE DICIEMBRE"
Formación,Formación
Herramientas de autoformación,Herramientas de autoformación
Oferta Educativa Profesional,Oferta Educativa Profesional
Talleres y especialización,Talleres y especialización
"",""
CONECTA EMPRENDE,CONECTA EMPRENDE
ARTES ESCENICAS,ARTES ESCENICAS
Conferencias y ponencias,Conferencias y ponencias
Exposiciones,Exposiciones
Formación,Formación
Herramientas de autoformación,Herramientas de autoformación
Ingreso libre,Ingreso libre
Oferta Educativa Profesional,Oferta Educativa Profesional
Oportunidades y recursos,Oportunidades y recursos
Talleres y especialización,Talleres y especialización
Teatro,Teatro
"",""
PROGRAMA DE ARTES EN LA ESCUELA – PASE,PROGRAMA DE ARTES EN LA ESCUELA – PASE
ARTES ESCENICAS,ARTES ESCENICAS
artistas,artistas
Conferencias y ponencias,Conferencias y ponencias
Directorio de investigadores,Directorio de investigadores
Exposiciones,Exposiciones
Formación,Formación
Herramientas de autoformación,Herramientas de autoformación
Ingreso libre,Ingreso libre
Instituciones de la Red INFOARTES,Instituciones de la Red INFOARTES
Investigadores escénicos,Investigadores escénicos
Investigadores visuales,Investigadores visuales
Oferta Educativa Profesional,Oferta Educativa Profesional
Oportunidades y recursos,Oportunidades y recursos
Oportunidades y recursos,Oportunidades y recursos
Talleres y especialización,Talleres y especialización
Teatro,Teatro
"",""
Programa CONECTA 2020,Programa CONECTA 2020
Herramientas de autoformación,Herramientas de autoformación
Oferta Educativa Profesional,Oferta Educativa Profesional
Talleres y especialización,Talleres y especialización
 , 
1,1
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
 , 
 , 
Mapa cultural - Perú,Mapa cultural - Perú
Nodos culturales - Lima,Nodos culturales - Lima
Geoportal,Geoportal
Infocultura,Infocultura
Artes,Artes
Indicadores,Indicadores
Aportes,Aportes
Estudios y reportes,Estudios y reportes
Servicios,Servicios
Recursos,Recursos
Noticias,Noticias
Infraestructura cultural,Infraestructura cultural
Teatros,Teatros
Salas de Cine,Salas de Cine
Centros Culturales,Centros Culturales
GalerÃ­as,GalerÃ­as
LibrerÃ­as,LibrerÃ­as
Archivos,Archivos
Escuelas de Arte,Escuelas de Arte
EncuÃ©ntralo aquÃ­,EncuÃ©ntralo aquÃ­
Mapa cultural,Mapa cultural
EstadÃ­sticas,EstadÃ­sticas
Socio-DemogrÃ¡ficas,Socio-DemogrÃ¡ficas
Radio y TV,Radio y TV
ProducciÃ³n Editorial,ProducciÃ³n Editorial
Internet,Internet
Cine y Audiovisuales,Cine y Audiovisuales
FormaciÃ³n,FormaciÃ³n
Oferta educativa profesional,Oferta educativa profesional
Talleres y especializaciÃ³n,Talleres y especializaciÃ³n
Recursos,Recursos
Oportunidades,Oportunidades
Becas,Becas
Concursos y Premios,Concursos y Premios
Financiamientos para Proyectos,Financiamientos para Proyectos
Residencias para artistas,Residencias para artistas
Ministerio de Cultura,Ministerio de Cultura
Subir,Subir
"",""
Licencia Creative Commons Atribución 4.0 Internacional,Licencia Creative Commons Atribución 4.0 Internacional
Ministerio de Cultura,Ministerio de Cultura
Patrimonio Cultural,Patrimonio Cultural
Industrias culturales y artes,Industrias culturales y artes
Interculturalidad,Interculturalidad
Defensa del Patrimonio,Defensa del Patrimonio
"",""
"Artes escénicas, visuales y música","Artes escénicas, visuales y música"
Libro y la lectura,Libro y la lectura
"Cine, audiovisual y nuevos medios","Cine, audiovisual y nuevos medios"
Inicio,Inicio
¿Qué es el SIICA?,¿Qué es el SIICA?
Contacto,Contacto
Indicadores,Indicadores
Aportes,Aportes
Estudios y reportes,Estudios y reportes
Servicios,Servicios
Recursos,Recursos
Noticias,Noticias
"",""
ENCUENTRO PASE – PROGRAMA DE ARTES EN LA ESCUELA,ENCUENTRO PASE – PROGRAMA DE ARTES EN LA ESCUELA
ARTES ESCENICAS,ARTES ESCENICAS
Conferencias y ponencias,Conferencias y ponencias
Formación,Formación
Ingreso libre,Ingreso libre
Instituciones de la Red INFOARTES,Instituciones de la Red INFOARTES
Oportunidades y recursos,Oportunidades y recursos
Talleres y especialización,Talleres y especialización
Teatro,Teatro
"",""
PROGRAMA DE ARTES EN LA ESCUELA – PASE,PROGRAMA DE ARTES EN LA ESCUELA – PASE
Conferencias y ponencias,Conferencias y ponencias
Exposiciones,Exposiciones
Formación,Formación
Fotografía,Fotografía
Herramientas de autoformación,Herramientas de autoformación
Oferta Educativa Profesional,Oferta Educativa Profesional
Talleres y especialización,Talleres y especialización
"",""
CONECTA EMPRENDE,CONECTA EMPRENDE
Conferencias y ponencias,Conferencias y ponencias
Formación,Formación
Oferta Educativa Profesional,Oferta Educativa Profesional
Oportunidades y recursos,Oportunidades y recursos
Oportunidades y recursos,Oportunidades y recursos
Talleres y especialización,Talleres y especialización
"",""
RECORDATORIO CHARLA INFORMATIVA: CONOCE MAS SOBRE EL BONO FAMILIAR UNIVERSAL,RECORDATORIO CHARLA INFORMATIVA: CONOCE MAS SOBRE EL BONO FAMILIAR UNIVERSAL
Conferencias y ponencias,Conferencias y ponencias
Herramientas de autoformación,Herramientas de autoformación
Talleres y especialización,Talleres y especialización
"",""
Inscríbete a las charlas informativas regionales sobre las Líneas de apoyo para la cultura.,Inscríbete a las charlas informativas regionales sobre las Líneas de apoyo para la cultura.
Exposiciones,Exposiciones
Formación,Formación
Herramientas de autoformación,Herramientas de autoformación
Talleres y especialización,Talleres y especialización
"",""
"Charlas dirigidas a colectivos culturales: sector escénicas, música y artes visuales","Charlas dirigidas a colectivos culturales: sector escénicas, música y artes visuales"
Conferencias y ponencias,Conferencias y ponencias
Exposiciones,Exposiciones
Exposiciones,Exposiciones
Talleres y especialización,Talleres y especialización
"",""
Beneficios de la formalización con SUNARP: Dirigido a artistas,Beneficios de la formalización con SUNARP: Dirigido a artistas
Conferencias y ponencias,Conferencias y ponencias
